,0
YearsAsCoach,-19.244863159094166
DaysTSubmitNoMissing,-1.367695966269821
FitNoMissing,-1.4103181250866328
RelationshipBuildingNoMissing,5.391573146240262
FinalAchievementNoMissing,34.56355168194932
CommAndPresNoMissing,-64.7364455186289
PredModelScoreNoMissing,-14.127809752181747
CMProspectRatingNoMissing,-3.344216090721602
AgeAtFDOSNoMissing,4.783562761906069
SchoolSelectivityNoMissing,-31.83737562137685
CumuGPANoMissing,-12.913709056334483
PerseveranceNoMissing,-0.9202638944880164
FRPLNoMissing,-17.02626578915897
YearsSchoolPartnerNoMissing,-13.663457804133941
YearsPartnerPartnerNoMissing,20.024940308758232
FirstYearsInSchoolNoMissing,-105.3193926300155
SecondYearsInSchoolNoMissing,-142.78847130346185
CMsInSchoolNoMissing,124.33964957946591
CertProgramCostNoMissing,0.0434495210647583
AvgFirstMonthSalNoMissing,-0.007079094648361206
RentPropNoMissing,9.05372690475906
AvgRentNoMissing,-0.3357348097488284
CorpsSizeNoMissing,-0.5926236542873085
RegPrefLevNoMissing,24.63759008129091
CSI6NoMissing,-1.2338251269829925
CSI5NoMissing,-9.671549220889574
CSI3NoMissing,-35.472367059519456
CSI12NoMissing,-41.692242990466184
CLI8NoMissing,-19.647950727507123
CLI6NoMissing,-57.09325093871303
OtherCMsSameCoachNoMissing,-7.2072623424755875
OtherCMsPrevCoachNoMissing,1.9774407742952462
K12TeachNo,-23.292267646235814
K12TeachYes,30.585551545848944
K12TeachNull,-7.293283899611652
HadFamRespNo,-39.02937384199868
HadFamRespYes,-2.166398869417435
HadFamRespNull,41.19577271141958
PellGrantNoOrMissing,17.283755652812943
PellGrantYes,-17.283755652812033
GenderFemale,9.860565201550344
GenderMale,27.13943479845011
CalcGradStudent,32.668757030901304
CalcJunior,2.220892867788166
CalcProfessional,-27.262981143555635
CalcUndergrad,-7.561877820938207
CalcUnknown,-0.06479093419604709
AttendLIC_HS_No,17.907694396327315
AttendLIC_HS_Yes,-11.842903462129925
AttendLIC_HS_Unknown,-6.064790934196054
GrewUpLIC_No_Or_Unknown,10.562253131247417
GrewUpLIC_Yes,-10.562253131248326
LIC_Served_No_Or_Unknown,-9.402490804359331
LIC_Served_Yes,9.402490804357058
Eth_Black,-89.2554452255124
Eth_Native,26.497854194609538
Eth_AsianAmPacIsl,67.18306107453145
Eth_Latinx,36.08427906570364
Eth_MultiEthMultiRacial,-6.963264587036122
Eth_OtherOrUnknown,3.6955056776464517
Eth_White,-37.24199019994285
VarsitySport_No_Or_Unknown,22.694536529911602
VarsitySport_Yes,-22.694536529911034
DeferralRequested,-4.765884218712017
DeferralNotRequested,4.765884218712017
Title1No,-2.325643267823125
Title1Yes,2.325643267824489
Grade_ECE,20.0
Grade_HIGH,-33.86992496559424
Grade_LOWELEM,-40.8750480185613
Grade_MIDDLE,8.05747545892109
Grade_UPPERELEM,45.42058090603655
Grade_Unknown,1.2669166191982981
School_Charter,-2.39205437393548
School_Public,-142.33149898274542
School_Other,144.72355335668033
LGB_NoProtect,91.4861330169474
LGB_LocalProtect,-0.21196787549433793
LGB_StateProtect,-91.27416514145443
TeacherPP_No,-2.973819320124676
TeacherPP_Yes,2.9738193201258127
Region_Large,10.81487626857188
Region_Medium,65.51451180666709
Region_Small,-76.32938807523988
Urbanicity_Both,6.318387042087352
Urbanicity_Rural,-100.12297053959338
Urbanicity_Urban,93.80458349750825
COL_High,57.25000234368554
COL_Low,-8.962134585252898
COL_Medium,-48.28786775843491
MajorTeaching_Match,-6.974542789835596
MajorTeaching_Mismatch,6.97454278983605
MajorOffered_Match,9.625364214823094
MajorOffered_Mismatch,-9.625364214823549
